City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,Quelimane,-17.88,36.89,77.0,88,0,8.05,MZ,1603667425
341,Nerchinskiy Zavod,51.31,119.61,29.57,93,100,0.87,RU,1603667594
342,Kabinda,-6.13,24.48,68.72,96,100,5.48,CD,1603667594
343,Saddiqabad,28.31,70.13,67.39,24,0,9.86,PK,1603667594
344,Tshikapa,-6.42,20.8,71.76,94,98,0.96,CD,1603667594
345,San Quintín,30.48,-115.95,68.32,67,66,14.27,MX,1603667595
346,Lebyazh'ye,55.27,66.49,41.2,90,100,3.78,RU,1603667595
347,Baruun-Urt,46.68,113.28,33.06,88,0,12.5,MN,1603667595
348,Tarrafal,15.28,-23.77,80.6,69,0,19.46,CV,1603667595
349,Barra de Tecoanapa,16.52,-98.75,84.2,77,89,9.1,MX,1603667595
350,Gornopravdinsk,60.05,69.9,32.61,97,99,5.01,RU,1603667596
351,Bagdarin,54.43,113.6,27.46,96,99,3.6,RU,1603667596
352,Inuvik,68.35,-133.72,23.0,85,90,11.41,CA,1603667596
353,Laredo,27.51,-99.51,91.4,52,1,14.99,US,1603667596
354,Bandar-e Lengeh,26.56,54.88,75.22,52,0,5.03,IR,1603667596
355,Lodja,-3.48,23.43,69.69,97,100,0.47,CD,1603667596
356,Fukuechō,32.69,128.84,65.95,58,0,9.71,JP,1603667372
357,Praia da Vitória,38.73,-27.07,63.0,82,75,2.84,PT,1603667597
358,Sabanalarga,10.63,-74.92,82.4,83,40,4.7,CO,1603667597
359,Maposeni,-10.58,35.4,68.29,75,53,4.21,TZ,1603667597
360,Callaway,30.15,-85.57,80.6,65,1,5.82,US,1603667597
361,Yazd,31.9,54.37,57.2,24,0,4.7,IR,1603667597
362,Bethanien,-26.5,17.16,68.49,25,22,4.81,NA,1603667597
363,Kyra,49.58,111.98,26.92,84,100,18.77,RU,1603667598
364,Kumul,42.8,93.45,38.05,67,23,3.15,CN,1603667598
365,Agboville,5.93,-4.21,74.46,97,95,3.18,CI,1603667598
366,Tandil,-37.32,-59.13,63.0,99,100,3.0,AR,1603667376
367,Huilong,31.81,121.66,64.0,91,54,5.19,CN,1603667598
368,Oddur,4.12,43.89,73.71,83,17,11.36,SO,1603667598
369,Mayumba,-3.43,10.66,77.13,87,100,8.3,GA,1603667598
370,Khotyn,48.48,26.5,54.0,91,100,1.99,UA,1603667599
